GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.khaphp.userservice.Service,UserSystemServiceImpl,611,0,40,0,179,0,34,0,14,0
user-service,com.khaphp.userservice.Service,UserSystemServiceImpl.new UserDetailsService() {...},20,0,0,0,2,0,3,0,3,0
user-service,com.khaphp.userservice.Service,FileStore,190,0,8,0,36,0,10,0,6,0
user-service,com.khaphp.userservice.controller,AuthController,0,12,0,0,0,2,0,2,0,2
user-service,com.khaphp.userservice.controller,UserSystemController,0,206,0,24,0,49,0,25,0,13
